fecha_entrada,fecha_cierre,par,lado_spread,simbolo_y,lado_y,precio_entrada_y,precio_cierre_y,simbolo_x,lado_x,precio_entrada_x,precio_cierre_x,gamma,z_entrada,z_cierre,pnl_neto_usdt,motivo_cierre
2026-08-16 18:32:04,2026-08-16 19:02:43,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,62764.9000,62942.3000,ETHUSDT,SELL,1874.7800,1886.8400,26.2824,-2.93,-4.88,-25.34,Spread Divergence Stop Loss (Z=-4.88)
2026-08-16 19:03:05,2026-08-16 19:03:28,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,62980.8000,62948.1000,ETHUSDT,SELL,1886.2900,1886.5000,25.3544,-4.19,-4.72,-0.90,Spread Divergence Stop Loss (Z=-4.72)
2026-08-16 18:10:19,2026-08-16 19:04:12,SUIUSDT/APTUSDT,LONG_SPREAD,SUIUSDT,BUY,0.6688,0.6730,APTUSDT,SELL,0.5190,0.5244,0.4502,-2.09,-0.15,-0.16,Spread Mean-Reverted (Z=-0.15)
2026-08-16 19:03:51,2026-08-16 19:04:14,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,62981.7000,63004.9000,ETHUSDT,SELL,1887.4800,1888.2600,24.9854,-4.57,-4.49,-1.89,Spread Divergence Stop Loss (Z=-4.49)
2026-08-16 19:04:38,2026-08-16 19:05:01,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63008.1000,63008.1000,ETHUSDT,SELL,1888.2700,1888.6900,24.8779,-4.45,-4.58,-1.23,Spread Divergence Stop Loss (Z=-4.58)
2026-08-16 19:05:24,2026-08-16 19:05:47,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63008.1000,63008.1000,ETHUSDT,SELL,1889.2900,1889.2800,24.5110,-4.73,-4.73,-0.38,Spread Divergence Stop Loss (Z=-4.73)
2026-08-16 19:06:09,2026-08-16 19:06:32,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63004.3000,63008.1000,ETHUSDT,SELL,1888.5700,1888.2600,24.7484,-4.59,-4.45,0.22,Spread Divergence Stop Loss (Z=-4.45)
2026-08-16 19:06:54,2026-08-16 19:07:18,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63008.1000,62967.1000,ETHUSDT,SELL,1889.7900,1889.7800,24.3190,-4.85,-5.25,-0.48,Spread Divergence Stop Loss (Z=-5.25)
2026-08-16 19:07:40,2026-08-16 19:08:03,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,62977.5000,63008.1000,ETHUSDT,SELL,1888.2600,1888.2500,24.6857,-4.83,-4.45,-0.31,Spread Divergence Stop Loss (Z=-4.45)
2026-08-16 19:08:25,2026-08-16 19:08:49,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63007.9000,62870.6000,ETHUSDT,SELL,1889.9900,1890.0000,24.2386,-4.90,-5.93,-0.75,Spread Divergence Stop Loss (Z=-5.93)
2026-08-16 19:09:12,2026-08-16 19:09:35,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63054.4000,63048.7000,ETHUSDT,SELL,1890.2400,1889.7700,24.5052,-4.41,-4.35,0.50,Spread Divergence Stop Loss (Z=-4.35)
2026-08-16 19:09:57,2026-08-16 19:10:20,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63054.4000,63054.3000,ETHUSDT,SELL,1890.2500,1889.8900,24.5015,-4.42,-4.31,0.30,Spread Divergence Stop Loss (Z=-4.31)
2026-08-16 19:10:42,2026-08-16 19:11:06,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63026.4000,63055.6000,ETHUSDT,SELL,1889.5400,1889.5400,24.5509,-4.58,-4.19,-0.33,Spread Divergence Stop Loss (Z=-4.19)
2026-08-16 19:11:28,2026-08-16 19:11:53,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63055.6000,63051.3000,ETHUSDT,SELL,1889.2500,1888.1900,24.8660,-4.09,-3.77,1.68,Spread Divergence Stop Loss (Z=-3.77)
2026-08-16 19:12:17,2026-08-16 19:12:39,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63042.5000,63037.7000,ETHUSDT,SELL,1888.0300,1888.0700,25.1729,-3.85,-3.95,-0.49,Spread Divergence Stop Loss (Z=-3.95)
2026-08-16 19:13:02,2026-08-16 19:13:24,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63039.8000,63037.7000,ETHUSDT,SELL,1888.2500,1888.3300,25.0872,-3.98,-4.04,-0.56,Spread Divergence Stop Loss (Z=-4.04)
2026-08-16 19:13:47,2026-08-16 19:14:10,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63045.1000,63048.1000,ETHUSDT,SELL,1888.6400,1888.6700,24.9964,-4.04,-4.00,-0.45,Spread Divergence Stop Loss (Z=-4.00)
2026-08-16 19:14:33,2026-08-16 19:14:56,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63050.8000,63040.9000,ETHUSDT,SELL,1888.7700,1888.9300,24.9923,-4.00,-4.20,-0.74,Spread Divergence Stop Loss (Z=-4.20)
2026-08-16 19:15:18,2026-08-16 19:15:41,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63032.9000,63033.5000,ETHUSDT,SELL,1888.8700,1889.2700,23.5656,-3.52,-3.63,-1.15,Spread Divergence Stop Loss (Z=-3.63)
2026-08-16 19:16:05,2026-08-16 19:16:27,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63032.6000,63025.9000,ETHUSDT,SELL,1889.0100,1888.7300,23.5203,-3.57,-3.57,0.11,Spread Divergence Stop Loss (Z=-3.57)
2026-08-16 19:16:50,2026-08-16 19:17:13,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63029.9000,63030.8000,ETHUSDT,SELL,1888.8800,1889.2700,23.5431,-3.56,-3.67,-1.13,Spread Divergence Stop Loss (Z=-3.67)
